City,Population,Median Age,Males,Median Earings($),No_vehicle_available_per,Worked at Home(%),Drove alone(%),Carpooled,Transit_percentage,Walked(%),Bicycled(%)
New York,8405837,40.2,0.515,37333,46,4.1,21.4,4.9,56.7,10,1.2
Los Angeles,3884307,30.6,0.551,27550,6.8,5.4,67.1,9.9,10.8,3.6,1.2
Chicago,2718782,37.7,0.519,34518,16.4,4.4,49.7,8.5,27.8,6.7,1.4
Houston,2195914,38.8,0.562,30252,4.6,3.7,75.3,12.2,4.2,2.2,0.8
Philadelphia,1553165,38.6,0.48,30372,18.9,2.9,49.9,8.5,27.2,8.1,2.3
Phoenix,1513367,40,0.549,31002,4,4.6,74.7,12,4,1.8,0.6
San Antonio,1409019,39.1,0.533,27500,4.1,3.2,78.9,11.1,3.6,1.7,0.3
San Diego,1355896,38,0.551,37280,3.2,6.2,74.9,8.7,4.2,3.7,0.8
Dallas,1257676,37.8,0.56,30208,4.3,4.4,75.8,11.8,3.8,3.5,0.3
San Jose,998537,41,0.561,42022,1.8,3.9,75.8,11.8,4.5,1.7,1
Austin,885400,36.8,0.549,33304,4.2,7.1,73.7,9.9,4.2,2.4,1.4
Indianapolis,843393,39.6,0.508,30372,3.7,3,81.2,10.2,2.3,1.9,0.4
Jacksonville,842583,41.5,0.52,31715,3.2,4.4,81.4,9.1,1.6,1.4,0.4
San Francisco,837442,38.7,0.541,51329,19.6,6.8,36.4,6.8,32.7,10.9,3.8
Columbus,822553,37,0.508,31774,3.6,3.6,79.3,9.2,3.3,2.8,1
Charlotte,792862,39.1,0.505,31979,4.5,5.8,75.5,10.7,4,2.2,0.3
Fort Worth,792727,37.8,0.526,31815,1.8,3.7,80.9,11.1,0.8,1.2,0.2
Detroit,688701,41.3,0.459,22888,4.3,3.8,70.1,11.9,8.1,3.5,0.6
El Paso,674433,39.6,0.548,25021,2,3.1,79.5,11.4,1.7,1.6,0.1
Memphis,653450,40.1,0.496,28373,4.9,2.1,79.5,12.4,2.2,2.2,0.4
Seattle,652405,37.5,0.526,46125,8.5,6.7,50.5,8,20.9,9.1,3.5
Denver,649495,36.8,0.534,35831,4.3,7,69.8,8.3,7.4,4.5,2
Washington,646449,36.5,0.49,52310,27.7,4.4,32.3,5.3,38.5,13.6,4.5
Boston,645966,34.4,0.498,37674,2.8,3.4,40.6,5.4,33,14.5,1.9
Nashville,634464,38,0.519,31371,16.4,4.9,81.1,8.5,1.9,2.3,0.3
Baltimore,622104,38.6,0.469,35706,15.9,2.5,61.3,9.2,18.8,6.4,0.7
Oklahoma City,610613,39.7,0.543,30667,2.5,3,82.6,11.3,0.7,1.3,0.3
Louisville,609893,41.7,0.509,31466,4.9,2.4,82.9,8.2,2.7,2.1,0.5
Portland,609456,39.1,0.515,35903,2.5,7.1,57.4,9.9,11.9,6.1,5.9
Las Vegas,603488,41.4,0.531,30411,4.1,2.9,76.7,12,4.5,1.8,0.4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
